,Año,Trimestre,Provincia,Tecnología,Accesos
162,2021,2,San Luis,ADSL,8417.0
163,2021,2,Santa Cruz,ADSL,12347.0
164,2021,2,Santa Fe,ADSL,256741.0
165,2021,2,Santiago Del Estero,ADSL,20734.0
166,2021,2,Tierra Del Fuego,ADSL,12853.0
167,2021,2,Tucumán,ADSL,110429.0
168,2021,1,Buenos Aires,ADSL,629679.0
169,2021,1,Capital Federal,ADSL,159805.0
170,2021,1,Catamarca,ADSL,26316.0
171,2021,1,Chaco,ADSL,43214.0
172,2021,1,Chubut,ADSL,45501.0
173,2021,1,Córdoba,ADSL,260350.0
174,2021,1,Corrientes,ADSL,49160.0
175,2021,1,Entre Ríos,ADSL,83688.0
176,2021,1,Formosa,ADSL,20663.0
177,2021,1,Jujuy,ADSL,32254.0
178,2021,1,La Pampa,ADSL,8946.0
179,2021,1,La Rioja,ADSL,17363.0
180,2021,1,Mendoza,ADSL,91844.0
181,2021,1,Misiones,ADSL,48292.0
182,2021,1,Neuquén,ADSL,30223.0
183,2021,1,Río Negro,ADSL,48777.0
184,2021,1,Salta,ADSL,54768.0
185,2021,1,San Juan,ADSL,40072.0
186,2021,1,San Luis,ADSL,8417.0
187,2021,1,Santa Cruz,ADSL,12347.0
188,2021,1,Santa Fe,ADSL,277012.0
189,2021,1,Santiago Del Estero,ADSL,26468.0
190,2021,1,Tierra Del Fuego,ADSL,12853.0
191,2021,1,Tucumán,ADSL,147199.0
192,2020,4,Buenos Aires,ADSL,635651.0
193,2020,4,Capital Federal,ADSL,163060.0
194,2020,4,Catamarca,ADSL,26870.0
195,2020,4,Chaco,ADSL,44332.0
196,2020,4,Chubut,ADSL,45703.0
197,2020,4,Córdoba,ADSL,267396.0
198,2020,4,Corrientes,ADSL,50102.0
199,2020,4,Entre Ríos,ADSL,85683.0
200,2020,4,Formosa,ADSL,21264.0
201,2020,4,Jujuy,ADSL,32850.0
202,2020,4,La Pampa,ADSL,9009.0
203,2020,4,La Rioja,ADSL,17513.0
204,2020,4,Mendoza,ADSL,91842.0
205,2020,4,Misiones,ADSL,49462.0
206,2020,4,Neuquén,ADSL,30468.0
207,2020,4,Río Negro,ADSL,48991.0
208,2020,4,Salta,ADSL,56659.0
209,2020,4,San Juan,ADSL,40072.0
210,2020,4,San Luis,ADSL,8417.0
211,2020,4,Santa Cruz,ADSL,12347.0
212,2020,4,Santa Fe,ADSL,287271.0
213,2020,4,Santiago Del Estero,ADSL,26812.0
214,2020,4,Tierra Del Fuego,ADSL,12853.0
215,2020,4,Tucumán,ADSL,149322.0
216,2020,3,Buenos Aires,ADSL,653930.0
217,2020,3,Capital Federal,ADSL,170375.0
218,2020,3,Catamarca,ADSL,26868.0
219,2020,3,Chaco,ADSL,45745.0
220,2020,3,Chubut,ADSL,45761.0
221,2020,3,Córdoba,ADSL,276360.0
222,2020,3,Corrientes,ADSL,50858.0
223,2020,3,Entre Ríos,ADSL,87892.0
224,2020,3,Formosa,ADSL,21790.0
225,2020,3,Jujuy,ADSL,32611.0
226,2020,3,La Pampa,ADSL,9015.0
227,2020,3,La Rioja,ADSL,17346.0
228,2020,3,Mendoza,ADSL,91908.0
229,2020,3,Misiones,ADSL,50195.0
230,2020,3,Neuquén,ADSL,30222.0
231,2020,3,Río Negro,ADSL,49530.0
232,2020,3,Salta,ADSL,58216.0
233,2020,3,San Juan,ADSL,40092.0
234,2020,3,San Luis,ADSL,8401.0
235,2020,3,Santa Cruz,ADSL,12845.0
236,2020,3,Santa Fe,ADSL,295051.0
237,2020,3,Santiago Del Estero,ADSL,26419.0
238,2020,3,Tierra Del Fuego,ADSL,12854.0
239,2020,3,Tucumán,ADSL,149605.0
240,2020,2,Buenos Aires,ADSL,661272.0
241,2020,2,Capital Federal,ADSL,178896.0
242,2020,2,Catamarca,ADSL,26968.0
243,2020,2,Chaco,ADSL,46816.0
244,2020,2,Chubut,ADSL,45761.0
245,2020,2,Córdoba,ADSL,282858.0
246,2020,2,Corrientes,ADSL,51248.0
247,2020,2,Entre Ríos,ADSL,89391.0
248,2020,2,Formosa,ADSL,21805.0
249,2020,2,Jujuy,ADSL,32705.0
250,2020,2,La Pampa,ADSL,8551.0
251,2020,2,La Rioja,ADSL,16885.0
252,2020,2,Mendoza,ADSL,91904.0
253,2020,2,Misiones,ADSL,50792.0
254,2020,2,Neuquén,ADSL,30256.0
255,2020,2,Río Negro,ADSL,49756.0
256,2020,2,Salta,ADSL,59502.0
257,2020,2,San Juan,ADSL,40092.0
258,2020,2,San Luis,ADSL,8401.0
259,2020,2,Santa Cruz,ADSL,12845.0
260,2020,2,Santa Fe,ADSL,299974.0
261,2020,2,Santiago Del Estero,ADSL,25917.0
262,2020,2,Tierra Del Fuego,ADSL,12854.0
263,2020,2,Tucumán,ADSL,150084.0
264,2020,1,Buenos Aires,ADSL,673237.0
265,2020,1,Capital Federal,ADSL,184494.0
266,2020,1,Catamarca,ADSL,21945.0
267,2020,1,Chaco,ADSL,46356.0
268,2020,1,Chubut,ADSL,45763.0
269,2020,1,Córdoba,ADSL,286168.0
270,2020,1,Corrientes,ADSL,51126.0
271,2020,1,Entre Ríos,ADSL,90368.0
272,2020,1,Formosa,ADSL,21068.0
273,2020,1,Jujuy,ADSL,32066.0
274,2020,1,La Pampa,ADSL,8553.0
275,2020,1,La Rioja,ADSL,13076.0
276,2020,1,Mendoza,ADSL,91955.0
277,2020,1,Misiones,ADSL,51458.0
278,2020,1,Neuquén,ADSL,29305.0
279,2020,1,Río Negro,ADSL,47756.0
