,Localidad,Departamento,Provincia,Latitud,Longitud,Estado
99,Balneario Laguna de Gomez,Junin,Buenos Aires,"-34,65590556","-61,0193",Conectado
100,Bananal,Ledesma,Jujuy,"-23,56561111","-64,50236111",Conectado
101,Bandera,Belgrano,Santiago del Estero,"-28,88791667","-62,26744444",Conectado
102,Bandera Bajada,Figueroa,Santiago del Estero,"-27,276667","-63,509722",Conectado
103,Banderalo,General Villegas,Buenos Aires,"-35,01091667","-63,37183333",Conectado
104,Bañado de Soto,Cruz del Eje,Córdoba,"-30,794461","-65,052825",Conectado
105,Baradero,Baradero,Buenos Aires,"-33,810287","-59,50957",Conectado
106,Barcena,Tumbaya,Jujuy,"-23,982475","-65,452911",Conectado
107,Barda del Medio,General Roca,Rio Negro,"-38,72412222","-68,16301389",Conectado
108,Bardas Blancas,Malargüe,Mendoza,"-35,86848611","-69,80525833",Conectado
109,Barrancas,San Jeronimo,Santa Fe,"-32,23239444","-60,99059444",Conectado
110,Barrancas (ex Las Juntas),Belen,Catamarca,"-28,103884","-65,899651",Conectado
111,Barrancas.,Pehuenches,Neuquén,"-36,82359167","-69,91165278",Conectado
112,Barrio Alto del Olvido,Lavalle,Mendoza,"-32,668533","-68,583604",Conectado
113,Barrio Casa Rosada,Famailla,Tucumán,"-27,04634722","-65,4272",Conectado
114,Barrio Colinas Verdes,General Pueyrredon,Buenos Aires,"-37,89308889","-57,82196944",Conectado
115,Barrio Colonia Conesa,Conesa,Rio Negro,"-40,151051","-64,353325",Conectado
116,Barrio El Coyunco,General Pueyrredon,Buenos Aires,"-37,91791944","-57,74728056",Conectado
117,Barrio El Pilar,Bariloche,Rio Negro,"-41,17068333","-71,33728333",Conectado
118,Barrio El Portal cambia por Ing. Fronteritas,Famailla,Tucumán,"-27,03670894","-65,39213814",Conectado
119,Barrio El Taladro,Cañuelas,Buenos Aires,"-35,0715","-58,86511111",Conectado
120,Barrio Jocoli II,Lavalle,Mendoza,"-32,650868","-68,660069",Conectado
121,Barrio Justo P. Castro Iv,Caucete,San Juan,"-31,627767","-68,302285",Conectado
122,Barrio La Gloria,General Pueyrredon,Buenos Aires,"-37,90758889","-57,78501111",Conectado
123,Barrio La Palmera,Lavalle,Mendoza,"-32,72149722","-68,56055278",Conectado
124,Barrio La Pega,Lavalle,Mendoza,"-32,80666667","-68,66527778",Conectado
125,Barrio La Union,El Carmen,Jujuy,"-24,40512778","-65,06995",Conectado
126,Barrio Lomas Altas,Chascomus,Buenos Aires,"-35,58551111","-58,06786667",Conectado
127,Barrio Martinez Saravia,Gral.J. de San Martin,Salta,"-22,57591111","-63,80631667",Conectado
128,Barrio Mitre,,Santa Fe,"-33,25204167","-60,38819444",Conectado
129,Barrio Sadop,San Martin,San Juan,"-31,5349666","-68,3983333",Conectado
130,Barrio Santa Paula,General Pueyrredon,Buenos Aires,"-37,93163056","-57,68613889",Conectado
131,Barrio Virgen del Rosario,Lavalle,Mendoza,"-32,70246667","-68,313",Conectado
132,Barrios,Yavi,Jujuy,"-22,24627796","-65,52787171",Conectado
133,Bartolome de las Casas,Patiño,Formosa,"-25,40875889","-59,57087908",Conectado
134,Basavilbaso,Uruguay,Entre Ríos,"-32,37117222","-58,87845833",Conectado
135,Belen,Belen,Catamarca,"-27,64672222","-67,02038889",Conectado
136,Bell Ville,Union,Córdoba,"-32,612997","-62,694325",Conectado
137,Bella Italia,Castellanos,Santa Fe,"-31,28253584","-61,40937088",Conectado
138,Bella Vista,Bella Vista,Corrientes,"-28,517925","-59,03736111",Conectado
139,Bellocq,Carlos Casares,Buenos Aires,"-35,919598","-61,534026",Conectado
140,Beltran,Robles,Santiago del Estero,"-27,82890278","-64,06425556",Conectado
141,Benavidez,Tigre,Buenos Aires,"-34,41083333","-58,72027778",Conectado
