,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
139,2021,3,Santa Cruz,HASTA 512 kbps,50.0
140,2021,3,Santa Fe,HASTA 512 kbps,467.0
141,2021,3,Santiago Del Estero,HASTA 512 kbps,123.0
142,2021,3,Tierra Del Fuego,HASTA 512 kbps,17.0
143,2021,3,Tucumán,HASTA 512 kbps,32.0
144,2021,2,Buenos Aires,HASTA 512 kbps,37192.0
145,2021,2,Capital Federal,HASTA 512 kbps,294.0
146,2021,2,Catamarca,HASTA 512 kbps,71.0
147,2021,2,Chaco,HASTA 512 kbps,301.0
148,2021,2,Chubut,HASTA 512 kbps,104.0
149,2021,2,Córdoba,HASTA 512 kbps,99.0
150,2021,2,Corrientes,HASTA 512 kbps,67.0
151,2021,2,Entre Ríos,HASTA 512 kbps,107.0
152,2021,2,Formosa,HASTA 512 kbps,381.0
153,2021,2,Jujuy,HASTA 512 kbps,48.0
154,2021,2,La Pampa,HASTA 512 kbps,298.0
155,2021,2,La Rioja,HASTA 512 kbps,18.0
156,2021,2,Mendoza,HASTA 512 kbps,36.0
157,2021,2,Misiones,HASTA 512 kbps,51.0
158,2021,2,Neuquén,HASTA 512 kbps,112.0
159,2021,2,Río Negro,HASTA 512 kbps,125.0
160,2021,2,Salta,HASTA 512 kbps,101.0
161,2021,2,San Juan,HASTA 512 kbps,18.0
162,2021,2,San Luis,HASTA 512 kbps,60.0
163,2021,2,Santa Cruz,HASTA 512 kbps,50.0
164,2021,2,Santa Fe,HASTA 512 kbps,467.0
165,2021,2,Santiago Del Estero,HASTA 512 kbps,123.0
166,2021,2,Tierra Del Fuego,HASTA 512 kbps,17.0
167,2021,2,Tucumán,HASTA 512 kbps,32.0
168,2021,1,Buenos Aires,HASTA 512 kbps,36939.0
169,2021,1,Capital Federal,HASTA 512 kbps,135.0
170,2021,1,Catamarca,HASTA 512 kbps,71.0
171,2021,1,Chaco,HASTA 512 kbps,301.0
172,2021,1,Chubut,HASTA 512 kbps,106.0
173,2021,1,Córdoba,HASTA 512 kbps,93.0
174,2021,1,Corrientes,HASTA 512 kbps,67.0
175,2021,1,Entre Ríos,HASTA 512 kbps,105.0
176,2021,1,Formosa,HASTA 512 kbps,56.0
177,2021,1,Jujuy,HASTA 512 kbps,49.0
178,2021,1,La Pampa,HASTA 512 kbps,298.0
179,2021,1,La Rioja,HASTA 512 kbps,18.0
180,2021,1,Mendoza,HASTA 512 kbps,28.0
181,2021,1,Misiones,HASTA 512 kbps,51.0
182,2021,1,Neuquén,HASTA 512 kbps,116.0
183,2021,1,Río Negro,HASTA 512 kbps,125.0
184,2021,1,Salta,HASTA 512 kbps,109.0
185,2021,1,San Juan,HASTA 512 kbps,25.0
186,2021,1,San Luis,HASTA 512 kbps,58.0
187,2021,1,Santa Cruz,HASTA 512 kbps,50.0
188,2021,1,Santa Fe,HASTA 512 kbps,518.0
189,2021,1,Santiago Del Estero,HASTA 512 kbps,123.0
190,2021,1,Tierra Del Fuego,HASTA 512 kbps,17.0
191,2021,1,Tucumán,HASTA 512 kbps,29.0
192,2020,4,Buenos Aires,HASTA 512 kbps,36939.0
193,2020,4,Capital Federal,HASTA 512 kbps,135.0
194,2020,4,Catamarca,HASTA 512 kbps,71.0
195,2020,4,Chaco,HASTA 512 kbps,301.0
196,2020,4,Chubut,HASTA 512 kbps,106.0
197,2020,4,Córdoba,HASTA 512 kbps,119.0
198,2020,4,Corrientes,HASTA 512 kbps,67.0
199,2020,4,Entre Ríos,HASTA 512 kbps,105.0
200,2020,4,Formosa,HASTA 512 kbps,56.0
201,2020,4,Jujuy,HASTA 512 kbps,49.0
202,2020,4,La Pampa,HASTA 512 kbps,298.0
203,2020,4,La Rioja,HASTA 512 kbps,18.0
204,2020,4,Mendoza,HASTA 512 kbps,28.0
205,2020,4,Misiones,HASTA 512 kbps,51.0
206,2020,4,Neuquén,HASTA 512 kbps,116.0
207,2020,4,Río Negro,HASTA 512 kbps,125.0
208,2020,4,Salta,HASTA 512 kbps,109.0
209,2020,4,San Juan,HASTA 512 kbps,25.0
