,Año,Trimestre,Provincia,Tipo_Banda,Accesos
175,2021,1,Entre Ríos,Banda ancha fija,251950.0
176,2021,1,Formosa,Banda ancha fija,50686.0
177,2021,1,Jujuy,Banda ancha fija,110456.0
178,2021,1,La Pampa,Banda ancha fija,96989.0
179,2021,1,La Rioja,Banda ancha fija,52625.0
180,2021,1,Mendoza,Banda ancha fija,218308.0
181,2021,1,Misiones,Banda ancha fija,149387.0
182,2021,1,Neuquén,Banda ancha fija,132862.0
183,2021,1,Río Negro,Banda ancha fija,140667.0
184,2021,1,Salta,Banda ancha fija,187572.0
185,2021,1,San Juan,Banda ancha fija,78011.0
186,2021,1,San Luis,Banda ancha fija,119006.0
187,2021,1,Santa Cruz,Banda ancha fija,45868.0
188,2021,1,Santa Fe,Banda ancha fija,825990.0
189,2021,1,Santiago Del Estero,Banda ancha fija,111640.0
190,2021,1,Tierra Del Fuego,Banda ancha fija,40133.0
191,2021,1,Tucumán,Banda ancha fija,231890.0
192,2020,4,Buenos Aires,Banda ancha fija,4028195.0
193,2020,4,Capital Federal,Banda ancha fija,1378140.0
194,2020,4,Catamarca,Banda ancha fija,52395.0
195,2020,4,Chaco,Banda ancha fija,139088.0
196,2020,4,Chubut,Banda ancha fija,129749.0
197,2020,4,Córdoba,Banda ancha fija,902646.0
198,2020,4,Corrientes,Banda ancha fija,125656.0
199,2020,4,Entre Ríos,Banda ancha fija,247368.0
200,2020,4,Formosa,Banda ancha fija,50206.0
201,2020,4,Jujuy,Banda ancha fija,105851.0
202,2020,4,La Pampa,Banda ancha fija,96779.0
203,2020,4,La Rioja,Banda ancha fija,52775.0
204,2020,4,Mendoza,Banda ancha fija,214838.0
205,2020,4,Misiones,Banda ancha fija,147161.0
206,2020,4,Neuquén,Banda ancha fija,132762.0
207,2020,4,Río Negro,Banda ancha fija,140709.0
208,2020,4,Salta,Banda ancha fija,187388.0
209,2020,4,San Juan,Banda ancha fija,72340.0
210,2020,4,San Luis,Banda ancha fija,119287.0
211,2020,4,Santa Cruz,Banda ancha fija,40477.0
212,2020,4,Santa Fe,Banda ancha fija,820676.0
213,2020,4,Santiago Del Estero,Banda ancha fija,106668.0
214,2020,4,Tierra Del Fuego,Banda ancha fija,39325.0
215,2020,4,Tucumán,Banda ancha fija,231067.0
216,2020,3,Buenos Aires,Banda ancha fija,3932211.0
217,2020,3,Capital Federal,Banda ancha fija,1371285.0
218,2020,3,Catamarca,Banda ancha fija,49903.0
219,2020,3,Chaco,Banda ancha fija,133951.0
220,2020,3,Chubut,Banda ancha fija,129202.0
221,2020,3,Córdoba,Banda ancha fija,867417.0
222,2020,3,Corrientes,Banda ancha fija,123388.0
223,2020,3,Entre Ríos,Banda ancha fija,241482.0
224,2020,3,Formosa,Banda ancha fija,49209.0
225,2020,3,Jujuy,Banda ancha fija,106728.0
226,2020,3,La Pampa,Banda ancha fija,93619.0
227,2020,3,La Rioja,Banda ancha fija,52613.0
228,2020,3,Mendoza,Banda ancha fija,207173.0
229,2020,3,Misiones,Banda ancha fija,143186.0
230,2020,3,Neuquén,Banda ancha fija,128862.0
231,2020,3,Río Negro,Banda ancha fija,130966.0
232,2020,3,Salta,Banda ancha fija,180844.0
233,2020,3,San Juan,Banda ancha fija,77071.0
234,2020,3,San Luis,Banda ancha fija,116417.0
235,2020,3,Santa Cruz,Banda ancha fija,39084.0
236,2020,3,Santa Fe,Banda ancha fija,802861.0
237,2020,3,Santiago Del Estero,Banda ancha fija,105491.0
238,2020,3,Tierra Del Fuego,Banda ancha fija,39366.0
239,2020,3,Tucumán,Banda ancha fija,223854.0
240,2020,2,Buenos Aires,Banda ancha fija,3772480.0
241,2020,2,Capital Federal,Banda ancha fija,1356431.0
242,2020,2,Catamarca,Banda ancha fija,47975.0
243,2020,2,Chaco,Banda ancha fija,128129.0
244,2020,2,Chubut,Banda ancha fija,107831.0
245,2020,2,Córdoba,Banda ancha fija,836413.0
246,2020,2,Corrientes,Banda ancha fija,118863.0
247,2020,2,Entre Ríos,Banda ancha fija,234100.0
248,2020,2,Formosa,Banda ancha fija,47932.0
249,2020,2,Jujuy,Banda ancha fija,94316.0
250,2020,2,La Pampa,Banda ancha fija,89693.0
251,2020,2,La Rioja,Banda ancha fija,52152.0
252,2020,2,Mendoza,Banda ancha fija,200569.0
253,2020,2,Misiones,Banda ancha fija,140340.0
254,2020,2,Neuquén,Banda ancha fija,125799.0
255,2020,2,Río Negro,Banda ancha fija,128985.0
256,2020,2,Salta,Banda ancha fija,177760.0
257,2020,2,San Juan,Banda ancha fija,69521.0
258,2020,2,San Luis,Banda ancha fija,113804.0
259,2020,2,Santa Cruz,Banda ancha fija,38672.0
260,2020,2,Santa Fe,Banda ancha fija,777795.0
261,2020,2,Santiago Del Estero,Banda ancha fija,105446.0
262,2020,2,Tierra Del Fuego,Banda ancha fija,38900.0
263,2020,2,Tucumán,Banda ancha fija,217134.0
264,2020,1,Buenos Aires,Banda ancha fija,3702985.0
265,2020,1,Capital Federal,Banda ancha fija,1352104.0
266,2020,1,Catamarca,Banda ancha fija,39634.0
267,2020,1,Chaco,Banda ancha fija,120274.0
268,2020,1,Chubut,Banda ancha fija,95938.0
269,2020,1,Córdoba,Banda ancha fija,811044.0
270,2020,1,Corrientes,Banda ancha fija,113967.0
271,2020,1,Entre Ríos,Banda ancha fija,231833.0
272,2020,1,Formosa,Banda ancha fija,46434.0
273,2020,1,Jujuy,Banda ancha fija,91665.0
274,2020,1,La Pampa,Banda ancha fija,89110.0
275,2020,1,La Rioja,Banda ancha fija,48337.0
276,2020,1,Mendoza,Banda ancha fija,182837.0
277,2020,1,Misiones,Banda ancha fija,133552.0
278,2020,1,Neuquén,Banda ancha fija,121354.0
279,2020,1,Río Negro,Banda ancha fija,125699.0
280,2020,1,Salta,Banda ancha fija,170379.0
281,2020,1,San Juan,Banda ancha fija,63975.0
282,2020,1,San Luis,Banda ancha fija,110404.0
283,2020,1,Santa Cruz,Banda ancha fija,38625.0
284,2020,1,Santa Fe,Banda ancha fija,770981.0
285,2020,1,Santiago Del Estero,Banda ancha fija,102754.0
286,2020,1,Tierra Del Fuego,Banda ancha fija,38505.0
287,2020,1,Tucumán,Banda ancha fija,200045.0
288,2019,4,Buenos Aires,Banda ancha fija,3681120.0
289,2019,4,Capital Federal,Banda ancha fija,1356695.0
290,2019,4,Catamarca,Banda ancha fija,38310.0
291,2019,4,Chaco,Banda ancha fija,117900.0
292,2019,4,Chubut,Banda ancha fija,95292.0
293,2019,4,Córdoba,Banda ancha fija,806633.0
294,2019,4,Corrientes,Banda ancha fija,113831.0
295,2019,4,Entre Ríos,Banda ancha fija,239017.0
296,2019,4,Formosa,Banda ancha fija,46711.0
297,2019,4,Jujuy,Banda ancha fija,88881.0
298,2019,4,La Pampa,Banda ancha fija,90280.0
299,2019,4,La Rioja,Banda ancha fija,48999.0
300,2019,4,Mendoza,Banda ancha fija,185157.0
301,2019,4,Misiones,Banda ancha fija,135813.0
302,2019,4,Neuquén,Banda ancha fija,116069.0
303,2019,4,Río Negro,Banda ancha fija,126636.0
304,2019,4,Salta,Banda ancha fija,172443.0
305,2019,4,San Juan,Banda ancha fija,64715.0
306,2019,4,San Luis,Banda ancha fija,108053.0
307,2019,4,Santa Cruz,Banda ancha fija,39170.0
308,2019,4,Santa Fe,Banda ancha fija,769019.0
309,2019,4,Santiago Del Estero,Banda ancha fija,103587.0
310,2019,4,Tierra Del Fuego,Banda ancha fija,40101.0
311,2019,4,Tucumán,Banda ancha fija,198621.0
312,2019,3,Buenos Aires,Banda ancha fija,3950114.0
313,2019,3,Capital Federal,Banda ancha fija,1437734.0
314,2019,3,Catamarca,Banda ancha fija,32391.0
315,2019,3,Chaco,Banda ancha fija,114438.0
316,2019,3,Chubut,Banda ancha fija,87481.0
317,2019,3,Córdoba,Banda ancha fija,782946.0
318,2019,3,Corrientes,Banda ancha fija,112749.0
319,2019,3,Entre Ríos,Banda ancha fija,238057.0
320,2019,3,Formosa,Banda ancha fija,46066.0
321,2019,3,Jujuy,Banda ancha fija,86575.0
322,2019,3,La Pampa,Banda ancha fija,90559.0
323,2019,3,La Rioja,Banda ancha fija,49659.0
324,2019,3,Mendoza,Banda ancha fija,223015.0
325,2019,3,Misiones,Banda ancha fija,133883.0
326,2019,3,Neuquén,Banda ancha fija,123435.0
327,2019,3,Río Negro,Banda ancha fija,143391.0
328,2019,3,Salta,Banda ancha fija,151834.0
329,2019,3,San Juan,Banda ancha fija,72535.0
330,2019,3,San Luis,Banda ancha fija,122409.0
331,2019,3,Santa Cruz,Banda ancha fija,37642.0
332,2019,3,Santa Fe,Banda ancha fija,760706.0
333,2019,3,Santiago Del Estero,Banda ancha fija,133130.0
334,2019,3,Tierra Del Fuego,Banda ancha fija,48043.0
335,2019,3,Tucumán,Banda ancha fija,164099.0
336,2019,2,Buenos Aires,Banda ancha fija,3845594.0
337,2019,2,Capital Federal,Banda ancha fija,1412177.0
338,2019,2,Catamarca,Banda ancha fija,33626.0
339,2019,2,Chaco,Banda ancha fija,108721.0
340,2019,2,Chubut,Banda ancha fija,86038.0
341,2019,2,Córdoba,Banda ancha fija,775023.0
342,2019,2,Corrientes,Banda ancha fija,111539.0
343,2019,2,Entre Ríos,Banda ancha fija,235780.0
344,2019,2,Formosa,Banda ancha fija,46438.0
345,2019,2,Jujuy,Banda ancha fija,86706.0
346,2019,2,La Pampa,Banda ancha fija,89937.0
347,2019,2,La Rioja,Banda ancha fija,50283.0
348,2019,2,Mendoza,Banda ancha fija,222535.0
349,2019,2,Misiones,Banda ancha fija,132878.0
350,2019,2,Neuquén,Banda ancha fija,120954.0
351,2019,2,Río Negro,Banda ancha fija,137632.0
352,2019,2,Salta,Banda ancha fija,142567.0
353,2019,2,San Juan,Banda ancha fija,69461.0
354,2019,2,San Luis,Banda ancha fija,117094.0
355,2019,2,Santa Cruz,Banda ancha fija,30225.0
356,2019,2,Santa Fe,Banda ancha fija,743258.0
357,2019,2,Santiago Del Estero,Banda ancha fija,126752.0
358,2019,2,Tierra Del Fuego,Banda ancha fija,46910.0
359,2019,2,Tucumán,Banda ancha fija,166299.0
360,2019,1,Buenos Aires,Banda ancha fija,3736563.0
361,2019,1,Capital Federal,Banda ancha fija,1396157.0
362,2019,1,Catamarca,Banda ancha fija,33613.0
363,2019,1,Chaco,Banda ancha fija,103664.0
364,2019,1,Chubut,Banda ancha fija,78260.0
365,2019,1,Córdoba,Banda ancha fija,744010.0
366,2019,1,Corrientes,Banda ancha fija,102477.0
367,2019,1,Entre Ríos,Banda ancha fija,232403.0
368,2019,1,Formosa,Banda ancha fija,45211.0
369,2019,1,Jujuy,Banda ancha fija,90146.0
370,2019,1,La Pampa,Banda ancha fija,88892.0
371,2019,1,La Rioja,Banda ancha fija,51638.0
372,2019,1,Mendoza,Banda ancha fija,204976.0
373,2019,1,Misiones,Banda ancha fija,122720.0
374,2019,1,Neuquén,Banda ancha fija,112321.0
375,2019,1,Río Negro,Banda ancha fija,120173.0
376,2019,1,Salta,Banda ancha fija,136019.0
377,2019,1,San Juan,Banda ancha fija,61881.0
378,2019,1,San Luis,Banda ancha fija,96044.0
379,2019,1,Santa Cruz,Banda ancha fija,24580.0
380,2019,1,Santa Fe,Banda ancha fija,736851.0
381,2019,1,Santiago Del Estero,Banda ancha fija,89851.0
382,2019,1,Tierra Del Fuego,Banda ancha fija,45903.0
383,2019,1,Tucumán,Banda ancha fija,171970.0
384,2018,4,Buenos Aires,Banda ancha fija,3626502.0
385,2018,4,Capital Federal,Banda ancha fija,1385577.0
386,2018,4,Catamarca,Banda ancha fija,33574.0
387,2018,4,Chaco,Banda ancha fija,103257.0
388,2018,4,Chubut,Banda ancha fija,77204.0
389,2018,4,Córdoba,Banda ancha fija,737234.0
390,2018,4,Corrientes,Banda ancha fija,100591.0
391,2018,4,Entre Ríos,Banda ancha fija,222003.0
392,2018,4,Formosa,Banda ancha fija,45204.0
393,2018,4,Jujuy,Banda ancha fija,90132.0
394,2018,4,La Pampa,Banda ancha fija,85368.0
395,2018,4,La Rioja,Banda ancha fija,51633.0
396,2018,4,Mendoza,Banda ancha fija,204982.0
397,2018,4,Misiones,Banda ancha fija,116273.0
398,2018,4,Neuquén,Banda ancha fija,112309.0
399,2018,4,Río Negro,Banda ancha fija,115922.0
400,2018,4,Salta,Banda ancha fija,134577.0
401,2018,4,San Juan,Banda ancha fija,61834.0
402,2018,4,San Luis,Banda ancha fija,96040.0
403,2018,4,Santa Cruz,Banda ancha fija,24443.0
404,2018,4,Santa Fe,Banda ancha fija,720161.0
405,2018,4,Santiago Del Estero,Banda ancha fija,89333.0
406,2018,4,Tierra Del Fuego,Banda ancha fija,45716.0
407,2018,4,Tucumán,Banda ancha fija,171972.0
408,2018,3,Buenos Aires,Banda ancha fija,3599714.0
409,2018,3,Capital Federal,Banda ancha fija,1385804.0
410,2018,3,Catamarca,Banda ancha fija,34215.0
411,2018,3,Chaco,Banda ancha fija,102021.0
412,2018,3,Chubut,Banda ancha fija,101310.0
413,2018,3,Córdoba,Banda ancha fija,725764.0
414,2018,3,Corrientes,Banda ancha fija,99445.0
415,2018,3,Entre Ríos,Banda ancha fija,204560.0
416,2018,3,Formosa,Banda ancha fija,44865.0
417,2018,3,Jujuy,Banda ancha fija,44934.0
418,2018,3,La Pampa,Banda ancha fija,83180.0
419,2018,3,La Rioja,Banda ancha fija,51855.0
420,2018,3,Mendoza,Banda ancha fija,205545.0
421,2018,3,Misiones,Banda ancha fija,108042.0
422,2018,3,Neuquén,Banda ancha fija,114713.0
423,2018,3,Río Negro,Banda ancha fija,112433.0
424,2018,3,Salta,Banda ancha fija,132882.0
425,2018,3,San Juan,Banda ancha fija,63823.0
426,2018,3,San Luis,Banda ancha fija,74121.0
427,2018,3,Santa Cruz,Banda ancha fija,33565.0
428,2018,3,Santa Fe,Banda ancha fija,694883.0
429,2018,3,Santiago Del Estero,Banda ancha fija,86358.0
430,2018,3,Tierra Del Fuego,Banda ancha fija,45056.0
431,2018,3,Tucumán,Banda ancha fija,171135.0
432,2018,2,Buenos Aires,Banda ancha fija,3490134.0
433,2018,2,Capital Federal,Banda ancha fija,1362498.0
434,2018,2,Catamarca,Banda ancha fija,34078.0
435,2018,2,Chaco,Banda ancha fija,98509.0
436,2018,2,Chubut,Banda ancha fija,98137.0
437,2018,2,Córdoba,Banda ancha fija,712979.0
438,2018,2,Corrientes,Banda ancha fija,97946.0
439,2018,2,Entre Ríos,Banda ancha fija,199937.0
440,2018,2,Formosa,Banda ancha fija,44554.0
441,2018,2,Jujuy,Banda ancha fija,45132.0
442,2018,2,La Pampa,Banda ancha fija,82177.0
443,2018,2,La Rioja,Banda ancha fija,51931.0
444,2018,2,Mendoza,Banda ancha fija,199468.0
445,2018,2,Misiones,Banda ancha fija,106147.0
446,2018,2,Neuquén,Banda ancha fija,113842.0
447,2018,2,Río Negro,Banda ancha fija,111176.0
448,2018,2,Salta,Banda ancha fija,134166.0
449,2018,2,San Juan,Banda ancha fija,63443.0
450,2018,2,San Luis,Banda ancha fija,21168.0
451,2018,2,Santa Cruz,Banda ancha fija,33970.0
452,2018,2,Santa Fe,Banda ancha fija,684243.0
453,2018,2,Santiago Del Estero,Banda ancha fija,83773.0
454,2018,2,Tierra Del Fuego,Banda ancha fija,44199.0
455,2018,2,Tucumán,Banda ancha fija,169926.0
456,2018,1,Buenos Aires,Banda ancha fija,3464882.0
457,2018,1,Capital Federal,Banda ancha fija,1359882.0
458,2018,1,Catamarca,Banda ancha fija,33934.0
459,2018,1,Chaco,Banda ancha fija,96925.0
460,2018,1,Chubut,Banda ancha fija,95532.0
461,2018,1,Córdoba,Banda ancha fija,713825.0
462,2018,1,Corrientes,Banda ancha fija,94406.0
463,2018,1,Entre Ríos,Banda ancha fija,197346.0
464,2018,1,Formosa,Banda ancha fija,32328.0
465,2018,1,Jujuy,Banda ancha fija,44405.0
466,2018,1,La Pampa,Banda ancha fija,82668.0
467,2018,1,La Rioja,Banda ancha fija,52228.0
468,2018,1,Mendoza,Banda ancha fija,199463.0
469,2018,1,Misiones,Banda ancha fija,103580.0
470,2018,1,Neuquén,Banda ancha fija,115897.0
471,2018,1,Río Negro,Banda ancha fija,110057.0
472,2018,1,Salta,Banda ancha fija,133182.0
473,2018,1,San Juan,Banda ancha fija,62610.0
474,2018,1,San Luis,Banda ancha fija,21096.0
475,2018,1,Santa Cruz,Banda ancha fija,33970.0
476,2018,1,Santa Fe,Banda ancha fija,679717.0
477,2018,1,Santiago Del Estero,Banda ancha fija,82916.0
478,2018,1,Tierra Del Fuego,Banda ancha fija,31106.0
479,2018,1,Tucumán,Banda ancha fija,168026.0
480,2017,4,Buenos Aires,Banda ancha fija,3171206.0
481,2017,4,Capital Federal,Banda ancha fija,1575418.0
482,2017,4,Catamarca,Banda ancha fija,29548.0
483,2017,4,Chaco,Banda ancha fija,96603.0
484,2017,4,Chubut,Banda ancha fija,91012.0
485,2017,4,Córdoba,Banda ancha fija,709874.0
486,2017,4,Corrientes,Banda ancha fija,93760.0
487,2017,4,Entre Ríos,Banda ancha fija,193654.0
488,2017,4,Formosa,Banda ancha fija,32056.0
489,2017,4,Jujuy,Banda ancha fija,43551.0
490,2017,4,La Pampa,Banda ancha fija,81675.0
491,2017,4,La Rioja,Banda ancha fija,52177.0
492,2017,4,Mendoza,Banda ancha fija,178661.0
493,2017,4,Misiones,Banda ancha fija,103895.0
494,2017,4,Neuquén,Banda ancha fija,114965.0
495,2017,4,Río Negro,Banda ancha fija,108702.0
496,2017,4,Salta,Banda ancha fija,132811.0
497,2017,4,San Juan,Banda ancha fija,57965.0
498,2017,4,San Luis,Banda ancha fija,14604.0
499,2017,4,Santa Cruz,Banda ancha fija,29018.0
500,2017,4,Santa Fe,Banda ancha fija,672137.0
501,2017,4,Santiago Del Estero,Banda ancha fija,68842.0
