,Provincia,Localidad,Latitud,Longitud,Tecnología,Disponible
104,Mendoza,Jocolí,-32.6125410510042,-68.6790408967958,ADSL,0
105,Mendoza,Jocolí Viejo,-32.7274623415005,-68.6602319575528,ADSL,0
106,Mendoza,Las Violetas,-32.8208151905733,-68.6164140763718,ADSL,0
107,Mendoza,Villa Tulumaya,-32.7196142429269,-68.6030438537926,ADSL,0
108,Mendoza,Agrelo,-33.1173844439975,-68.8960235351828,ADSL,1
109,Mendoza,Barrio Adina I Y Ii,-33.0649388173829,-68.8877014932113,ADSL,0
110,Mendoza,Barrio Perdriel IV,-33.0753282280469,-68.9250404043338,ADSL,0
111,Mendoza,Cacheuta,-33.0367104413315,-69.1159068278817,ADSL,1
112,Mendoza,CARRODILLA,-32.9776578285745,-68.8524394649607,ADSL,0
113,Mendoza,CHACRAS DE CORIA,-32.9899032062811,-68.8913679185275,ADSL,0
114,Mendoza,Costa Flores,-33.0705184504059,-68.9343214868201,ADSL,0
115,Mendoza,El Carmelo,-32.9551111218674,-69.281192394514,ADSL,0
116,Mendoza,El Carrizal,-33.3037433557192,-68.7554951968491,ADSL,0
117,Mendoza,El Salto,-32.8994781760003,-69.3336484431929,ADSL,0
118,Mendoza,La Puntilla,-32.9609713860174,-68.8723323876365,ADSL,0
119,Mendoza,Rivadavia,-33.19403215031,-68.4736188877526,ADSL,1
120,Mendoza,Santa María de Oro,-33.2059806305116,-68.4335589109359,ADSL,0
121,Mendoza,Barrio Carrasco,-33.8321066130502,-69.0490032074462,ADSL,0
122,Mendoza,Barrio El Cepillo,-33.8386533809471,-69.1303497215532,ADSL,0
123,Mendoza,Chilecito,-33.8934020968296,-69.0804633582269,ADSL,0
124,Mendoza,Eugenio Bustos,-33.7850224488548,-69.0729045258216,ADSL,1
125,Mendoza,La Consulta,-33.7386757381913,-69.1281255649691,ADSL,1
126,Mendoza,Pareditas,-33.9452563037172,-69.0824859034273,ADSL,0
127,Mendoza,San Carlos,-33.7744494556708,-69.0490909178745,ADSL,0
128,Mendoza,Alto Salvador,-33.0359716817131,-68.4708407197208,ADSL,0
129,Mendoza,Alto Verde,-33.1195037386563,-68.4180218961221,ADSL,0
130,Mendoza,Barrio Chivilcoy,-33.0411467362082,-68.3541527366296,ADSL,0
131,Mendoza,Barrio Emanuel,-32.8468555962866,-68.4100199226668,ADSL,0
132,Mendoza,Barrio La Estación,-33.155290161095,-68.3543621643557,ADSL,0
133,Mendoza,Barrio Los Charabones,-32.9785115683367,-68.3051018239824,ADSL,0
134,Mendoza,Barrio Ntra. Sra. De Fátima,-33.1309714824444,-68.351277983232,ADSL,0
135,Mendoza,Chapanay,-32.9801177295667,-68.4765253845307,ADSL,0
136,Mendoza,Chivilcoy,-33.038335582925,-68.4594029398778,ADSL,0
137,Mendoza,El Espino,-33.077333062302,-68.3982838200909,ADSL,0
138,Salta,La Caldera,-24.6049486234217,-65.3823377302988,ADSL,0
139,Salta,Vaqueros,-24.6945211920197,-65.4026944187147,ADSL,1
140,Salta,El Jardín,-26.0938834199791,-65.41384156239,ADSL,0
141,Salta,El Tala,-26.1208917578309,-65.2873058787689,ADSL,0
142,Salta,La Candelaria,-26.0961790089843,-65.0610119525095,ADSL,0
143,Salta,Cobres,-23.6391998500842,-66.2684039729566,ADSL,0
144,Salta,La Poma,-24.7129010493055,-66.1997385176463,ADSL,0
145,Salta,Ampascachi,-25.355455514438,-65.5323044668329,ADSL,0
146,Salta,Cabra Corral,-25.290036707535,-65.38778537012,ADSL,0
147,Salta,Coronel Moldes,-25.2889404681421,-65.4745373510335,ADSL,1
148,Salta,La Viña,-25.4719724619835,-65.5719838890076,ADSL,0
149,Salta,Talapampa,-25.5463746287562,-65.559672881754,ADSL,0
150,Salta,Olacapato,-24.1197745515994,-66.7142594000385,ADSL,0
151,Salta,San Antonio de los Cobres,-24.2099310029638,-66.315435998094,ADSL,0
152,Salta,Santa Rosa de los Pastos Grandes,-24.478105777316,-66.6785400667592,ADSL,0
153,Salta,Tolar Grande,-24.5579851944765,-67.4369653675359,ADSL,0
154,Salta,El Galpón,-25.3915864503967,-64.6595062933993,ADSL,1
155,Salta,El Tunal,-25.2652645771513,-64.4061042227155,ADSL,0
156,Salta,Lumbreras,-25.2172575790264,-64.9306861458005,ADSL,0
157,Salta,Metán Viejo,-25.5418039517985,-64.9849385087879,ADSL,0
158,Salta,Presa El Tunal,-25.2652645771512,-64.4061042227154,ADSL,0
159,Salta,Río Piedras,-25.3211818761179,-64.917329424853,ADSL,1
160,Salta,San José de Metán,-25.5077205377148,-64.9821245409304,ADSL,1
161,Salta,San José de Orquera,-25.2783094165373,-64.0850561648465,ADSL,0
162,Salta,La Puerta,-25.2804538149509,-66.4508396566503,ADSL,0
163,Salta,Molinos,-25.4442432937572,-66.3088500894253,ADSL,1
164,Salta,Seclantás,-25.3305099574445,-66.2484466228606,ADSL,0
165,Salta,Aguas Blancas,-22.7245611902241,-64.346319220401,ADSL,0
166,Salta,Colonia Santa Rosa,-23.3885957203176,-64.4234333229489,ADSL,0
167,Salta,El Tabacal,-23.2500270361093,-64.2445058938392,ADSL,0
168,Santa Cruz,Las Heras,-46.5424553787867,-68.9341773229667,ADSL,0
169,Santa Cruz,Pico Truncado,-46.7938981244061,-67.9575704898943,ADSL,0
170,Santa Cruz,Puerto Deseado,-47.7514649275067,-65.9012043680086,ADSL,1
171,Santa Cruz,Tellier,-47.6487686074581,-66.0446356831872,ADSL,0
172,Santa Cruz,28 de Noviembre,-51.5787581525544,-72.2080410883792,ADSL,0
173,Santa Cruz,El Turbio (Est. Gobernador Mayer),-51.6805338519685,-72.0874860687819,ADSL,0
174,Santa Cruz,Julia Dufour,-51.5406111767208,-72.2398967258576,ADSL,0
175,Santa Cruz,Mina 3,-51.5487660455569,-72.2333909775383,ADSL,0
176,Santa Cruz,Río Gallegos,-51.6214349839165,-69.2290509293744,ADSL,0
177,Santa Cruz,Rospentek,-51.6639328934924,-72.1426988306974,ADSL,0
178,Santa Cruz,Yacimientos Río Turbio,-51.5328383738253,-72.3341032077956,ADSL,0
179,Santa Cruz,El Calafate,-50.3373208485428,-72.2619950698979,ADSL,1
180,Santa Fe,Nuevo Torino,-31.3468823835409,-61.235725734005,ADSL,1
181,Santa Fe,Pilar,-31.442015817123,-61.2600249614063,ADSL,1
182,Santa Fe,Plaza Matilde,-31.7974834888763,-61.0111678232689,ADSL,0
183,Santa Fe,Progreso,-31.1397689545802,-60.990254156931,ADSL,0
184,Santa Fe,Providencia,-30.9845868369063,-61.0218281498813,ADSL,0
185,Santa Fe,Sa Pereyra,-31.5721513951563,-61.3782231110791,ADSL,1
186,Santa Fe,San Agustín,-31.6847778866246,-60.9413147450231,ADSL,0
187,Santa Fe,San Carlos Centro,-31.7284179989089,-61.0913957859145,ADSL,1
188,Santa Fe,San Carlos Norte,-31.6743105766747,-61.0762585195433,ADSL,0
189,Santa Fe,San Carlos Sud,-31.7575954064363,-61.1007514980914,ADSL,1
190,Santa Fe,San Jerónimo del Sauce,-31.6112124759047,-61.1425180717315,ADSL,0
191,Santa Fe,San Jerónimo Norte,-31.5545316682675,-61.078514153956,ADSL,1
192,Santa Fe,San Mariano,-31.6702105890861,-61.3480211476449,ADSL,0
193,Córdoba,Devoto,-31.403980918137,-62.3061393858824,ADSL,1
194,Córdoba,El Arañado,-31.7412330671687,-62.8933443705701,ADSL,0
195,Córdoba,El Fortín,-31.9672502352148,-62.3026285942112,ADSL,0
196,Córdoba,El Fuertecito,-31.4039349300198,-62.9733657676524,ADSL,0
197,Córdoba,El Tío,-31.3845486215618,-62.8284737646901,ADSL,1
198,Córdoba,Estación Luxardo,-31.3047488843392,-62.1333023360613,ADSL,0
199,Córdoba,Freyre,-31.1647319320813,-62.0976333908888,ADSL,1
200,Córdoba,La Francia,-31.406437919327,-62.6343581010891,ADSL,1
201,Córdoba,La Paquita,-30.9070545771133,-62.2154361817056,ADSL,1
202,Córdoba,La Tordilla,-31.2352452196552,-63.0599042713799,ADSL,1
203,Córdoba,Las Varas,-31.801292158779,-62.6171047243489,ADSL,0
204,Mendoza,Las Carditas,-32.9551111218674,-69.281192394514,ADSL,0
205,Mendoza,Las Compuertas,-33.0343953638207,-68.9757201428593,ADSL,1
206,Mendoza,Las Vegas,-33.0058788620171,-69.2764002200338,ADSL,0
207,Mendoza,Los Manantiales,-32.8990128008468,-69.3340868979844,ADSL,0
208,Mendoza,Luján de Cuyo,-33.0328665626243,-68.8912066261393,ADSL,1
209,Mendoza,MAYOR DRUMMOND,-33.0038391611615,-68.8612966964436,ADSL,0
210,Mendoza,Perdriel,-33.0690096392441,-68.8986010698045,ADSL,1
211,Mendoza,Piedras Blancas,-33.0198804741995,-69.3030036808918,ADSL,0
212,Mendoza,Potrerillos,-32.945486814506,-69.2086449063504,ADSL,0
213,Mendoza,Ugarteche,-33.2109451573216,-68.8972088041994,ADSL,0
